date,temperature,pH,O2,NTU,uS
2020-01-13 16,12.2,7.9,12.4,6.4,211.9
2020-01-13 17,12,7.86,13.51,7.1,209.5
2020-01-13 18,11.9,7.88,12.97,7,212.1
2020-01-13 19,11.9,7.88,13.24,7.4,212.5
2020-01-13 20,12.1,7.87,12.15,6.3,211.9
2020-01-13 21,11.9,7.87,12.71,6.9,212.2
2020-01-13 22,11.9,7.87,12.84,7.1,212.1
2020-01-13 23,11.9,7.86,13.11,7.5,212.3
2020-01-16 14,12.1,7.72,12.06,6.4,215.8
2020-01-16 15,11.9,7.72,12.57,8,215.6
2020-01-16 16,12.2,7.72,10.8,5.6,215.3
2020-01-16 17,12,7.72,11.8,6.2,215.8
2020-01-16 18,11.9,7.72,12.6,8,215.9
2020-01-16 19,12,7.71,12.39,7.3,216
2020-01-16 20,12.3,7.72,10.91,5.8,215.6
2020-01-16 21,12,7.71,11.47,6,216
2020-01-16 22,11.9,7.72,11.81,5.7,216.2
2020-01-16 23,11.9,7.72,12.06,6.1,216.2
2020-01-17 00,12.3,7.71,10.85,5.8,215.9
2020-01-17 01,12,7.69,11.46,6,216.4
2020-01-17 02,11.9,7.71,11.78,6.1,216.4
2020-01-17 03,11.9,7.71,12.07,6.2,216.5
2020-01-17 04,12.2,7.7,10.54,5.8,216.1
2020-01-17 05,12,7.7,11.6,6.1,216.6
2020-01-17 06,11.9,7.7,11.94,6.8,216.7
2020-01-17 07,11.9,7.7,11.69,6.1,216.8
2020-01-17 08,12.3,7.7,10.76,5.9,216.3
2020-01-17 09,12,7.69,11.5,5.9,216.7
2020-01-17 10,11.9,7.7,12.16,6.3,217
2020-01-17 11,12,7.7,12.53,7.2,217
2020-01-17 12,12.3,7.69,10.7,5.7,216.4
2020-01-17 13,12.2,7.68,11.36,5.9,216.7
2020-01-17 14,12.1,7.7,11.7,6,216.8
2020-01-17 15,12.1,7.7,11.99,5.7,217
2020-01-17 16,12.3,7.69,10.43,5.4,216.5
2020-01-17 17,12.1,7.69,11.68,6.3,217
2020-01-17 18,11.9,7.69,12.1,6,217.3
2020-01-17 19,11.9,7.69,12.07,6.3,217.2
2020-01-17 20,12.3,7.68,10.38,5.7,216.6
2020-01-17 21,12,7.69,11.72,6.1,217.2
2020-01-17 22,11.9,7.69,12.46,7.3,217.3
2020-01-17 23,11.9,7.69,12.05,5.9,217.2
2020-01-18 00,12.3,7.68,10.37,5.6,216.9
2020-01-18 01,12,7.67,11.41,6.1,217.4
2020-01-18 02,12,7.69,11.64,5.9,217.4
